state,code,2011,2009,2008,2007,2004~2006
Alabama,AL,41415,40489,42666,40554,38473
Arizona,AZ,46709,47357,49693,47085,48126
Arkansas,AR,38758,37823,38815,38134,37420
California,CA,57287,56860,57989,54610,52214
Colorado,CO,55387,54659,56033,53514,48201
Connecticut,CT,65753,66953,68460,64333,57639
Delaware,DE,58814,58931,61021,59948,53770
Florida,FL,44299,44926,47576,46253,46395
Georgia,GA,46007,45395,47988,46597,45837
Idaho,ID,43341,43028,43508,41452,40827
Illinois,IL,53234,53341,56361,55062,50819
Indiana,IN,46438,45734,46581,45888,45040
Iowa,IA,49427,48457,50169,48730,45485
Kansas,KS,48964,48044,48980,47292,47489
Kentucky,KY,41141,40072,41538,40267,38466
Louisiana,LA,41734,41725,43614,42367,40676
Maine,ME,46033,45424,47966,47448,44806
Maryland,MD,70004,69272,70545,68080,62372
Massachusetts,MA,62859,64081,65401,62365,56236
Michigan,MI,45981,45255,48591,47950,47064
Minnesota,MN,56954,56548,58078,55591,53439
Mississippi,MS,36919,36646,37790,36338,35261
Missouri,MO,45247,45043,46032,43424,44624
Montana,MT,44222,44736,47778,47804,44448
Nebraska,NE,50296,49520,50713,48576,47791
Nevada,NV,48927,47827,45685,43753,43753
New Hampshire,NH,62647,60567,63731,62369,60489
New Jersey,NJ,67458,67034,68595,65967,59972
New Mexico,NM,41963,42322,43654,43531,38629
New York,NY,55246,54119,55701,53568,52003
North Carolina,NC,43916,43674,46549,44670,42061
North Dakota,ND,51704,51618,52104,49907,51622
Ohio,OH,45749,45229,46867,45114,44651
Oklahoma,OK,43225,42492,43733,40926,37943
Oregon,OR,46816,47590,50861,49136,46841
Pennsylvania,PA,50228,48745,50958,49889,46729
Rhode Island,RI,53636,53966,56235,54124,49280
South Carolina,SC,42367,42442,44625,43329,40822
South Dakota,SD,48321,47817,50177,47451,44264
Tennessee,TN,41693,41664,42822,41567,40001
Texas,TX,49392,48259,50043,47548,43425
Utah,UT,55869,55117,56633,55109,55179
Vermont,VT,52776,52664,53207,51731,47227
Virginia,VA,61882,59330,61233,59562,55108
Washington,WA,56835,55616,57288,55082,57363
West Virginia,WV,38482,37435,37989,37060,37227
Wisconsin,WI,50395,49993,52094,50578,48874
Wyoming,WY,56322,55430,56993,55212,54039
