State,Abbreviation,Latitude,Longitude
Alabama,AL,32.806673,-86.791133
Arizona,AZ,33.729761,-111.431224
Arkansas,AR,34.969705,-92.373124
California,CA,36.116203,-119.681563
Colorado,CO,39.05981,-105.311105
Connecticut,CT,41.597781,-72.755369
Delaware,DE,39.318522,-75.507138
Florida,FL,27.766279,-81.686782
Georgia,GA,33.040618,-83.643072
Hawaii,HI,21.094319,-157.498339
Idaho,ID,44.24046,-114.478825
Illinois,IL,40.349455,-88.986137
Indiana,IN,39.849425,-86.258278
Iowa,IA,42.011538,-93.210526
Kansas,KS,38.526599,-96.726489
Kentucky,KY,37.668141,-84.670064
Louisiana,LA,31.169546,-91.867805
Maine,ME,44.693948,-69.381924
Maryland,MD,39.063944,-76.802101
Massachusetts,MA,42.230173,-71.530104
Michigan,MI,43.326618,-84.536093
Minnesota,MN,45.694455,-93.900189
Mississippi,MS,32.741647,-89.678697
Missouri,MO,38.456087,-92.288368
Montana,MT,46.921924,-110.454351
Nebraska,NE,41.12537,-98.268081
Nevada,NV,38.313513,-117.055372
New Hampshire,NH,43.452491,-71.563899
New Jersey,NJ,40.298904,-74.521013
New Mexico,NM,34.840514,-106.248483
New York,NY,42.165724,-74.948052
North Carolina,NC,35.630066,-79.806417
North Dakota,ND,47.52891,-99.784012
Ohio,OH,40.388781,-82.764916
Oklahoma,OK,35.565342,-96.928919
Oregon,OR,44.57202,-122.070939
Pennsylvania,PA,40.590752,-77.209755
Rhode Island,RI,41.680893,-71.511782
South Carolina,SC,33.856893,-80.945011
South Dakota,SD,44.299782,-99.438825
Tennessee,TN,35.747845,-86.692343
Texas,TX,31.054487,-97.56346
Utah,UT,40.150032,-111.862433
Vermont,VT,44.045877,-72.710689
Virginia,VA,37.769335,-78.169968
Washington,WA,47.400902,-121.490493
West Virginia,WV,38.491226,-80.954452
Wisconsin,WI,44.268544,-89.616509
Wyoming,WY,42.755965,-107.302488
