State_Code_Dest,State_Abbrv,State_Code_Origin,State_Abbrv,State_Name,Return_Num,Exmpt_Num,Aggr_AGI
0,0,96,US,US Total Mig - US & For,2920977,5460987,132499511
0,0,97,US,US Total Mig - US,2836418,5282519,128371628
0,0,98,US,US Total Mig - Foreign,84559,178468,4127883
1,AL,96,AL,AL Total Mig - US & For,42627,89395,1761417
1,AL,97,AL,AL Total Mig - US,41700,87143,1718268
1,AL,98,AL,AL Total Mig - Foreign,927,2252,43148
1,AL,1,AL,AL Non-Migrants,1604990,3609606,79341033
1,AL,13,GA,GEORGIA,7269,15404,256014
1,AL,12,FL,FLORIDA,6086,12305,240772
1,AL,47,TN,TENNESSEE,3336,6819,128374
1,AL,48,TX,TEXAS,2613,5751,118517
1,AL,28,MS,MISSISSIPPI,2597,5504,99163
1,AL,6,CA,CALIFORNIA,1510,3107,65910
1,AL,37,NC,NORTH CAROLINA,1476,3208,64372
1,AL,51,VA,VIRGINIA,1240,2669,74025
1,AL,22,LA,LOUISIANA,1136,2330,50084
1,AL,26,MI,MICHIGAN,1116,2295,41505
1,AL,39,OH,OHIO,1009,2032,42037
1,AL,36,NY,NEW YORK,1001,1980,36542
1,AL,17,IL,ILLINOIS,968,1942,39116
1,AL,57,FR,Foreign,927,2252,43148
1,AL,21,KY,KENTUCKY,848,1841,35217
1,AL,45,SC,SOUTH CAROLINA,840,1826,35883
1,AL,18,IN,INDIANA,713,1406,27767
1,AL,29,MO,MISSOURI,619,1238,26936
1,AL,8,CO,COLORADO,563,1251,24828
1,AL,53,WA,WASHINGTON,550,1202,26340
1,AL,42,PA,PENNSYLVANIA,509,972,25728
1,AL,4,AZ,ARIZONA,465,1005,22913
1,AL,24,MD,MARYLAND,443,897,24626
1,AL,5,AR,ARKANSAS,431,926,18390
1,AL,20,KS,KANSAS,397,981,18616
1,AL,40,OK,OKLAHOMA,379,874,17665
1,AL,34,NJ,NEW JERSEY,328,625,15025
1,AL,55,WI,WISCONSIN,279,576,11467
1,AL,25,MA,MASSACHUSETTS,253,448,10713
1,AL,15,HI,HAWAII,249,617,10516
